year|album|song|danceability|energy|speechiness|acousticness|liveness|valence|duration_ms
1963|Please Please Me|I Saw Her Standing There|0.491|0.801|0.0361|0.27|0.0665|0.971|173947
1963|Please Please Me|Misery|0.591|0.605|0.0413|0.707|0.309|0.882|108547
1963|Please Please Me|Anna (Go to Him)|0.608|0.565|0.0336|0.635|0.0601|0.835|177133
1963|Please Please Me|Chains|0.654|0.561|0.0304|0.608|0.129|0.929|145080
1963|Please Please Me|Boys|0.402|0.86|0.0504|0.607|0.736|0.822|146440
1963|Please Please Me|Ask Me Why|0.605|0.394|0.0378|0.767|0.0967|0.597|146533
1963|Please Please Me|Please Please Me|0.527|0.48|0.028|0.334|0.0702|0.706|120853
1963|Please Please Me|Love Me Do|0.52|0.829|0.0806|0.386|0.227|0.744|141693
1963|Please Please Me|P.S. I Love You|0.635|0.656|0.0291|0.389|0.0828|0.77|124360
1963|Please Please Me|Baby It's You|0.608|0.494|0.0345|0.778|0.0926|0.879|160520
1963|Please Please Me|Do You Want to Know a Secret|0.673|0.349|0.0368|0.608|0.38|0.609|117013
1963|Please Please Me|A Taste of Honey|0.42|0.372|0.0327|0.698|0.104|0.412|123480
1963|Please Please Me|There's a Place|0.455|0.582|0.0292|0.629|0.172|0.927|110493
1963|Please Please Me|Twist and Shout|0.482|0.849|0.0452|0.641|0.0414|0.937|155227
1963|With The Beatles|It Won't Be Long|0.472|0.673|0.0318|0.284|0.206|0.862|133387
1963|With The Beatles|All I've Got to Do|0.49|0.579|0.0344|0.217|0.0644|0.879|122573
1963|With The Beatles|All My Loving|0.416|0.563|0.0298|0.207|0.343|0.9|127853
1963|With The Beatles|Don't Bother Me|0.371|0.724|0.0562|0.554|0.299|0.916|148253
1963|With The Beatles|Little Child|0.526|0.858|0.0476|0.292|0.353|0.886|106400
1963|With The Beatles|Till There Was You|0.727|0.338|0.0454|0.79|0.105|0.646|133507
1963|With The Beatles|Please Mr. Postman|0.552|0.644|0.0372|0.675|0.36|0.961|154160
1963|With The Beatles|Roll Over Beethoven|0.351|0.749|0.0312|0.289|0.0952|0.967|165467
1963|With The Beatles|Hold Me Tight|0.54|0.744|0.0312|0.664|0.21|0.963|151907
1963|With The Beatles|You Really Got a Hold on Me|0.373|0.388|0.0337|0.525|0.267|0.687|181347
1963|With The Beatles|I Wanna Be Your Man|0.553|0.914|0.0415|0.477|0.292|0.683|119507
1963|With The Beatles|Devil in Her Heart|0.618|0.622|0.0296|0.227|0.0438|0.966|146213
1963|With The Beatles|Not a Second Time|0.471|0.817|0.0372|0.213|0.498|0.961|126827
1963|With The Beatles|Money (That's What I Want)|0.545|0.853|0.0394|0.425|0.266|0.923|169507
1964|A Hard Day's Night|A Hard Day's Night|0.59|0.805|0.0371|0.137|0.0996|0.797|154200
1964|A Hard Day's Night|I Should Have Known Better|0.682|0.444|0.0289|0.257|0.115|0.91|163080
1964|A Hard Day's Night|If I Fell|0.665|0.31|0.0278|0.68|0.0877|0.568|139467
1964|A Hard Day's Night|I'm Happy Just to Dance with You|0.658|0.537|0.0307|0.138|0.0572|0.887|116373
1964|A Hard Day's Night|And I Love Her|0.767|0.331|0.0337|0.64|0.0681|0.636|149693
1964|A Hard Day's Night|Tell Me Why|0.267|0.688|0.0388|0.586|0.307|0.797|128693
1964|A Hard Day's Night|Can't Buy Me Love|0.483|0.677|0.0593|0.283|0.321|0.842|131867
1964|A Hard Day's Night|Any Time at All|0.612|0.719|0.0398|0.366|0.437|0.744|131280
1964|A Hard Day's Night|I'll Cry Instead|0.643|0.73|0.0347|0.0917|0.253|0.96|105987
1964|A Hard Day's Night|Things We Said Today|0.551|0.575|0.0332|0.239|0.112|0.516|155333
1964|A Hard Day's Night|When I Get Home|0.568|0.793|0.0482|0.384|0.388|0.64|136640
1964|A Hard Day's Night|You Can't Do That|0.612|0.788|0.0335|0.367|0.382|0.961|154893
1964|A Hard Day's Night|I'll Be Back|0.721|0.527|0.0293|0.744|0.186|0.641|144187
1964|Beatles for Sale|No Reply|0.718|0.593|0.0377|0.67|0.172|0.869|136067
1964|Beatles for Sale|I'm a Loser|0.492|0.628|0.0439|0.567|0.267|0.856|150027
1964|Beatles for Sale|Baby's in Black|0.374|0.596|0.0416|0.434|0.098|0.876|124520
1964|Beatles for Sale|Rock and Roll Music|0.457|0.917|0.0441|0.566|0.333|0.965|151280
1964|Beatles for Sale|I'll Follow the Sun|0.689|0.313|0.0366|0.789|0.144|0.625|108853
1964|Beatles for Sale|Mr. Moonlight|0.631|0.424|0.0438|0.796|0.118|0.589|158627
1964|Beatles for Sale|Kansas City / Hey-Hey-Hey-Hey!|0.588|0.724|0.0335|0.614|0.877|0.924|158147
1964|Beatles for Sale|Eight Days a Week|0.652|0.583|0.038|0.412|0.119|0.744|163600
1964|Beatles for Sale|Words of Love|0.551|0.533|0.0297|0.323|0.173|0.85|124320
1964|Beatles for Sale|Honey Don't|0.629|0.545|0.0348|0.473|0.0854|0.735|177427
1964|Beatles for Sale|Every Little Thing|0.74|0.49|0.038|0.488|0.103|0.678|123800
1964|Beatles for Sale|I Don't Want to Spoil the Party|0.533|0.668|0.033|0.451|0.149|0.889|154467
1964|Beatles for Sale|What You're Doing|0.695|0.53|0.0403|0.301|0.0583|0.825|150040
1964|Beatles for Sale|Everybody's Trying to Be My Baby|0.543|0.806|0.0385|0.466|0.134|0.943|146000
1965|Help!|Help!|0.534|0.725|0.0332|0.188|0.0994|0.763|139560
1965|Help!|The Night Before|0.461|0.762|0.0379|0.0537|0.238|0.632|154933
1965|Help!|You've Got to Hide Your Love Away|0.398|0.392|0.0282|0.207|0.102|0.378|129120
1965|Help!|I Need You|0.601|0.489|0.0455|0.277|0.0988|0.638|148787
1965|Help!|Another Girl|0.516|0.638|0.0314|0.238|0.333|0.822|125360
1965|Help!|You're Going to Lose That Girl|0.533|0.66|0.0337|0.346|0.26|0.818|138667
1965|Help!|Ticket to Ride|0.519|0.85|0.0678|0.0457|0.233|0.749|189680
1965|Help!|Act Naturally|0.702|0.447|0.0308|0.366|0.153|0.944|150373
1965|Help!|It's Only Love|0.629|0.551|0.0256|0.22|0.0432|0.685|116480
