|year|album|song|danceability|energy|speechiness|acousticness|liveness|valence|duration_ms|lyrics|cover|songwriters_parsed|vocals_parsed|popularity
0|1963|Please Please Me|I Saw Her Standing There|0.491|0.801|0.0361|0.27|0.0665|0.971|173947|Well, she was just seventeen You know what I mean And the way she looked was way beyond compare So how could I dance with another (Ooh) When I saw her standing there  Well she looked at me, and I, I could see That before too long I\'d fall in love with her She wouldn\'t dance with another (Whooh) When I saw her standing there  Well, my heart went boom When I crossed that room And I held her hand in mine  Whoah, we danced through the night And we held each other tight And before too long I fell in love with her Now I\'ll never dance with another (Whooh) When I saw her standing there  Well, my heart went boom When I crossed that room And I held her hand in mine  Whoah, we danced through the night And we held each other tight And before too long I fell in love with her Now I\'ll never dance with another (Whooh) Since I saw her standing there Oh since I saw her standing there Oh since I saw her standing there|FALSO|[Paul McCartney, John Lennon]|[McCartney, Lennon]|68.0
1|1963|Please Please Me|Misery|0.591|0.605|0.0413|0.707|0.309|0.882|108547|The world is treating me bad misery. I'm the kind of guy, Who never used to cry, The world is treating me bad, misery. I've lost her now for sure, I won't see her no more, It's gonna be a drag in misery. I'll remember all the little things we've done Can't she see she'll always be the only one, only one. Send her back to me, 'Cause everyone can see Without her I will be in misery I'll remember all the little things we've done. She'll remember and she'll miss her only one, lonely one. Send her back to me, 'Cause everyone can see, Without her I will be in misery In misery, My misery,|FALSO|[John Lennon, Paul McCartney]|[Lennon, McCartney]|50.0
2|1963|Please Please Me|Anna (Go to Him)|0.608|0.565|0.0336|0.635|0.0601|0.835|177133|Anna You come and ask me, girl To set you free, girl You say he loves you more than me So I will set you free Go with him (Anna) Go with him (Anna)  Anna Girl, before you go now I want you to know, now That I still love you so But if he loves you more Go with him  All of my life I've been searching for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leave me sad What am I, what am I supposed to do  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him  All of my life I've been searching for a girl To love me like I love you But let me tell you now But every girl I've ever had Breaks my heart and leave me sad What am I, what am I supposed to do  Anna Just one more thing, girl You give back your ring to me, And I will set you free Go with him  (Anna) Go with him (Anna) You can go with him, girl (Anna) Go with him|VERDADEIRO|[Arthur Alexander]|[Lennon]|58.0
3|1963|Please Please Me|Chains|0.654|0.561|0.0304|0.608|0.129|0.929|145080|Chains, my baby's got me locked up in chains. And they ain't the kind, That you can see. Ooh these chains of love, got a hold on me, yeah. Chains, well I can't break away from these chains. Can't run around, 'cause I'm not free. Ooh, these chains of love won't let me be, yeah. I wanna tell you, pretty baby, I think you're fine. I'd like to love you, But, darling, I'm imprisoned by these Chains, My baby's got me locked up in chains, And they ain't the kind, That you can see, Ooh, these chains of love got a hold on me. Please believe me when I tell you, Your lips are sweet. I'd like to kiss them, But I can't break away from all of these Chains, My baby's got me locked up in chains. And they ain't the kind, That you can see. Ooh, these chains of love got a hold on me, yeah. Chains, chains of love, chains of love (fade)|VERDADEIRO|[Gerry Goffin, Carole King]|[Harrison, (with Lennon, McCartney)]|47.0
4|1963|Please Please Me|Boys|0.402|0.86|0.0504|0.607|0.736|0.822|146440|I been told when a boy kisses girl, Takes a trip around the world, Hey, hey (3 times) Yeah, she say you do. My girl says when I kiss her lips, Gets a thrill through her fingertips, Hey, hey (3 times) Yeah, she say you do. Well, I talk about boys, Don't ya know I mean boys, Well, I talk about boys, now, Well, I talk about boys, now, What a bundle of joy|VERDADEIRO|[Luther Dixon, Wes Farrell]|[Starr]|48.0
5|1963|Please Please Me|Ask Me Why|0.605|0.394|0.0378|0.767|0.0967|0.597|146533|I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Now you're mine, my happiness still makes me cry. And in time, you'll understand the reason why, If I cry, It's not because I'm sad, But you're the only love that I've ever had. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you. I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Ask me why, I'll say I love you, And I'm always thinking of you. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you.|FALSO|[John Lennon, Paul McCartney]|[Lennon]|49.0
6|1963|Please Please Me|Please Please Me|0.527|0.48|0.028|0.334|0.0702|0.706|120853|Last night I said these words to my girl I know you never even try, girl C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you  You don\'t need me to show the way, love Why do I always have to say love C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you  I don\'t wanna sound complaining But you know there\'s always rain in my heart (In my heart) I do all the pleasing with you, it\'s so hard to reason With you, whoah yeah, why do you make me blue  Last night I said these words to my girl I know you never even try, girl C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you (Me) Whoa yeah, like I please you (Me) Whoa yeah, like I please you|FALSO|[John Lennon]|[Lennon, McCartney]|59.0
7|1963|Please Please Me|Love Me Do|0.52|0.829|0.0806|0.386|0.227|0.744|141693|Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Someone to love (somebody new) Someone to love (someone like you) Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do (heh) Interlude Love, love me do You know I love you I'll always be true So ple-e-e-ease Love me do Whoa-oh-oh love me do Yeah, love me do Whoa-oh-oh love me do (Fade out) Yeah, love me do...|FALSO|[Paul McCartney, John Lennon]|[McCartney, Lennon]|68.0
8|1963|Please Please Me|P.S. I Love You|0.635|0.656|0.0291|0.389|0.0828|0.77|124360|As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you  I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you  As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you  As I write this letter (Oh) Send my love to you (You know I want you to) Remember that I'll always (Yeah) Be in love with you  I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you You, you, you I love you|FALSO|[Paul McCartney, John Lennon]|[McCartney]|50.0
9|1963|Please Please Me|Baby It's You|0.608|0.494|0.0345|0.778|0.0926|0.879|160520|Sha la la la la la la la Sha la la la la la la la Sha la la la la la la la Sha la la la la  It\'s not the way you smile that touched my heart. (sha la la la la) It\'s not the way you kiss that tears me apart.  Uh, oh, many, many, many nights go by, I sit alone at home and I cry over you. What can I do. Can\'t help myself, \'cause baby, it\'s you. Baby, it\'s you.  You should hear what they say about you, cheat, cheat. They say, they say you never never never ever been true. (cheat cheat)  Uh oh, It doesn\'t matter what they say, I know I\'m gonna love you any old way. What can I do, and it\'s true. Don\'t want nobody, nobody, \'cause baby, it\'s you. (sha la la la la la la) Baby, it\'s you. (sha la la la la la la)  Uh oh, It doesn\'t matter what they say, I know I\'m gonna love you any old way. What can I do, when it\'s true. Don\'t want nobody, nobody, \'cause baby, it\'s you. (sha la la la la la la) Baby, it\'s you. (sha la la la la la la) Don\'t leave me all alone...|VERDADEIRO|[Burt Bacharach, Hal David, Luther Dixon]|[Lennon]|56.0
