|0|1|2
0|Let It Be|Two Of Us|58
1|Let It Be|Dig A Pony|53
2|Let It Be|Across The Universe|66
3|Let It Be|I Me Mine|55
4|Let It Be|Dig It|47
5|Let It Be|Let It Be|78
6|Let It Be|Maggie Mae|50
7|Let It Be|I've Got A Feeling|57
8|Let It Be|One After 909|50
9|Let It Be|The Long And Winding Road|63
10|Let It Be|For You Blue|50
11|Let It Be|Get Back|66
12|Abbey Road|Come Together|77
13|Abbey Road|Something|71
14|Abbey Road|Maxwell's Silver Hammer|58
15|Abbey Road|Oh! Darling|67
16|Abbey Road|Octopus's Garden|62
17|Abbey Road|I Want You (She's So Heavy)|61
18|Abbey Road|Here Comes The Sun|82
19|Abbey Road|Because|58
20|Abbey Road|You Never Give Me Your Money|58
21|Abbey Road|Sun King|55
22|Abbey Road|Mean Mr Mustard|56
23|Abbey Road|Polythene Pam|55
24|Abbey Road|She Came In Through The Bathroom Window|57
25|Abbey Road|Golden Slumbers|64
26|Abbey Road|Carry That Weight|60
27|Abbey Road|The End|56
28|Abbey Road|Her Majesty|24
29|Yellow Submarine|Yellow Submarine|47
30|Yellow Submarine|Only A Northern Song|40
31|Yellow Submarine|All Together Now|43
32|Yellow Submarine|Hey Bulldog|52
33|Yellow Submarine|It's All Too Much|41
34|Yellow Submarine|All You Need Is Love|42
35|Yellow Submarine|Pepperland|45
36|Yellow Submarine|Sea Of Time|38
37|Yellow Submarine|Sea Of Holes|33
38|Yellow Submarine|Sea Of Monsters|31
39|Yellow Submarine|March Of The Meanies|36
40|Yellow Submarine|Pepperland Laid Waste|33
41|Yellow Submarine|Yellow Submarine In Pepperland|45
42|The Beatles (white album)|Back In The U.S.S.R.|65
43|The Beatles (white album)|Dear Prudence|60
44|The Beatles (white album)|Glass Onion|54
45|The Beatles (white album)|Ob-La-Di, Ob-La-Da|71
46|The Beatles (white album)|Wild Honey Pie|49
47|The Beatles (white album)|The Continuing Story Of Bungalow Bill|51
48|The Beatles (white album)|While My Guitar Gently Weeps|70
49|The Beatles (white album)|Happiness Is A Warm Gun|58
50|The Beatles (white album)|Martha My Dear|54
51|The Beatles (white album)|I'm So Tired|55
52|The Beatles (white album)|Blackbird|73
53|The Beatles (white album)|Piggies|49
54|The Beatles (white album)|Rocky Raccoon|57
55|The Beatles (white album)|Don't Pass Me By|50
56|The Beatles (white album)|Why Don't We Do It In The Road?|50
